Testheader diffusion and onsager coefficients
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__2_2	MSD__2_1	MSD__1_1	
 1 1.6407 -2.83512 4.89909
 2 2.93369 -5.06942 8.75996
 3 4.25891 -7.3594 12.717
 4 5.46808 -9.44885 16.3276
 5 6.75882 -11.6792 20.1817
 6 7.95933 -13.7537 23.7664
 7 9.36422 -16.1814 27.9614
 8 10.7016 -18.4923 31.9548
 9 12.0214 -20.773 35.8957
 10 13.2454 -22.888 39.5504
 11 14.4603 -24.9874 43.1782
 12 15.6985 -27.127 46.8754
 13 16.8722 -29.1551 50.38
 14 18.0735 -31.231 53.9671
 15 19.2523 -33.2679 57.4869
 16 20.2755 -35.0361 60.5424
 17 21.3273 -36.8535 63.6829
 18 22.3303 -38.5868 66.678
 19 23.3264 -40.3081 69.6524
 20 24.2571 -41.9163 72.4314
 20 26.8551 -46.4057 80.189
 40 46.5736 -80.4792 139.068
 60 69.6349 -120.329 207.929
 80 98.9191 -170.932 295.371
 100 132.882 -229.621 396.784
 120 163.271 -282.131 487.523
 140 200.972 -347.28 600.099
 160 237.212 -409.903 708.312
 180 266.436 -460.402 795.575
 200 304.851 -526.783 910.28
 220 350.841 -606.254 1047.61
 240 393.048 -679.186 1173.63
 260 427.699 -739.065 1277.1
 280 456.347 -788.568 1362.65
 300 489.023 -845.031 1460.21
 320 518.187 -895.428 1547.3
 340 543.708 -939.528 1623.5
 360 573.159 -990.418 1711.44
 380 597.725 -1032.87 1784.8
 400 629.438 -1087.67 1879.49
 400 970.412 -1676.87 2897.63
 800 1055.31 -1823.57 3151.14
