Testheader diffusion and onsager coefficients
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__2	MSD__1	
 1 6.76478 8.15297
 2 12.0401 14.5684
 3 17.1496 20.816
 4 22.2246 27.0413
 5 27.3355 33.2823
 6 32.4501 39.5336
 7 37.5922 45.7813
 8 42.7101 52.0287
 9 47.8258 58.2513
 10 52.9518 64.4901
 11 58.0823 70.7313
 12 63.1974 76.9688
 13 68.3064 83.2132
 14 73.4047 89.4455
 15 78.5 95.6782
 16 83.6194 101.923
 17 88.7164 108.143
 18 93.8235 114.358
 19 98.9174 120.571
 20 103.971 126.784
 20 103.825 126.916
 40 205.28 248.844
 60 307.276 370.594
 80 409.886 494.427
 100 513.395 622.942
 120 617.791 750.011
 140 723.345 879.247
 160 832.676 1008.45
 180 941.515 1136.31
 200 1051.18 1265.18
 220 1163.16 1394.3
 240 1275.9 1523.14
 260 1388.61 1650.3
 280 1500.41 1779.95
 300 1611.7 1911.93
 320 1724.05 2044.5
 340 1837.95 2175.89
 360 1956.64 2306.33
 380 2074.03 2434.74
 400 2190.3 2561.56
 400 2179.44 2506.12
 800 4374.66 5053.81
