Testheader thermal conductivity
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 0.01 0.000853679 0.000881455 0.00085049 0.000861875
 0.02 0.00339164 0.00350286 0.00337909 0.00342453
 0.03 0.00754901 0.00779972 0.00752155 0.00762343
 0.04 0.0132301 0.013677 0.0131832 0.0133634
 0.05 0.0203219 0.0210225 0.0202525 0.0205323
 0.06 0.0287065 0.0297193 0.028613 0.0290129
 0.07 0.0382692 0.0396536 0.0381521 0.0386916
 0.08 0.0489033 0.0507196 0.0487647 0.0494625
 0.09 0.0605117 0.0628208 0.0603556 0.0612294
 0.1 0.0730068 0.0758695 0.0728388 0.073905
 0.11 0.0863091 0.0897862 0.0861367 0.0874107
 0.12 0.100346 0.104498 0.100179 0.101674
 0.13 0.115052 0.119938 0.1149 0.11663
 0.14 0.130366 0.136044 0.130242 0.132217
 0.15 0.14623 0.152759 0.146148 0.148379
 0.16 0.162592 0.170028 0.16257 0.165063
 0.17 0.179405 0.187803 0.179458 0.182222
 0.18 0.196621 0.206036 0.196769 0.199809
 0.19 0.214201 0.224685 0.214463 0.217783
 0.2 0.232103 0.243708 0.232502 0.236104
 0.2 0.23234 0.244388 0.232426 0.236385
 0.4 0.619965 0.660979 0.628762 0.636569
 0.6 1.02164 1.08679 1.04036 1.0496
 0.8 1.42948 1.51009 1.45488 1.46481
 1 1.84504 1.93675 1.8632 1.88166
 1.2 2.26655 2.36606 2.27189 2.3015
 1.4 2.68639 2.80311 2.68364 2.72438
 1.6 3.10155 3.23585 3.09467 3.14403
 1.8 3.50824 3.66306 3.50515 3.55882
 2 3.91666 4.10478 3.90936 3.97693
 2.2 4.32056 4.55252 4.31091 4.39466
 2.4 4.72097 4.9929 4.7157 4.80986
 2.6 5.12565 5.43107 5.11794 5.22489
 2.8 5.53285 5.87337 5.52249 5.6429
 3 5.93814 6.31516 5.92911 6.0608
 3.2 6.34969 6.75184 6.34015 6.48056
 3.4 6.77754 7.17567 6.75444 6.90255
 3.6 7.21075 7.59374 7.17057 7.32502
 3.8 7.65125 8.00919 7.58334 7.74793
 4 8.09786 8.42283 8.00483 8.17517
 4 8.51015 8.25642 8.14473 8.30376
 8 18.1115 15.9846 16.1648 16.7536
 12 26.5205 23.2809 24.6815 24.8276
 16 35.9296 31.5229 34.5555 34.0026
 20 45.1195 41.0016 43.2 43.107
 24 53.127 51.7284 53.984 52.9465
 28 62.0029 61.8685 64.5504 62.8072
 32 71.9566 73.5491 74.9867 73.4975
 36 79.2443 85.946 86.156 83.7821
 40 83.2279 100.307 98.3855 93.9734
 44 87.891 114.435 110.284 104.203
 48 91.5291 128.951 124.03 114.836
 52 94.5861 143.826 137.284 125.232
 56 98.764 160.21 153.36 137.445
 60 104.182 176.264 170.845 150.43
 64 108.447 191.231 187.117 162.265
 68 113.269 208.07 204.961 175.433
 72 118.795 223.365 221.088 187.749
 76 123.791 240.03 237.162 200.328
 80 128.643 255.446 254.128 212.739
 80 167.134 201.085 272.264 213.494
 160 309.84 591.855 817.184 572.96
 240 367.762 1029.41 1357.38 918.185
 320 401.952 1282.63 1229.82 971.468
 400 500.512 1707.2 863.749 1023.82
 480 589.637 1863.62 777.251 1076.83
 560 513.859 2183.37 958.24 1218.49
 640 281.731 2388.13 1443.43 1371.1
 720 124.823 3139.44 1807.43 1690.56
 800 308.86 3514.55 2354.96 2059.46
 880 452.794 4437.04 2768.06 2552.63
 960 720.658 5113.08 3704.68 3179.47
