Testheader viscosity
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 0.01 0.0006124 0.000579164 0.000604655 0.00059746 0.000590709 0.000610564 0.000599578 0.000599243 0.000300891
 0.02 0.00243643 0.00230368 0.00240534 0.00237652 0.00234967 0.00242916 0.00238512 0.0023838 0.00118825
 0.03 0.00543443 0.00513647 0.00536406 0.00529911 0.00523929 0.00541836 0.00531892 0.00531601 0.00261915
 0.04 0.00954902 0.00902105 0.00942288 0.00930723 0.00920229 0.00952111 0.00934354 0.00933852 0.00453088
 0.05 0.0147095 0.0138879 0.0145104 0.0143294 0.0141683 0.0146672 0.0143883 0.0143807 0.00685122
 0.06 0.0208384 0.0196609 0.0205482 0.0202874 0.0200602 0.0207795 0.0203757 0.0203651 0.0095081
 0.07 0.027857 0.0262629 0.0274566 0.0271014 0.0268001 0.0277797 0.0272271 0.0272131 0.0124369
 0.08 0.0356888 0.0336194 0.0351579 0.0346945 0.0343127 0.0355923 0.0348665 0.0348487 0.0155845
 0.09 0.0442628 0.0416609 0.0435798 0.0429944 0.0425281 0.0441468 0.0432231 0.043201 0.0189105
 0.1 0.0535138 0.0503243 0.0526557 0.0519354 0.0513829 0.053379 0.0522324 0.0522053 0.0223858
 0.11 0.0633832 0.0595533 0.0623255 0.0614582 0.0608203 0.0632315 0.0618367 0.0618036 0.0259908
 0.12 0.073819 0.0692976 0.0725353 0.0715097 0.07079 0.0736538 0.0719845 0.0719443 0.0297127
 0.13 0.0847747 0.0795128 0.0832369 0.082043 0.0812473 0.084601 0.0826304 0.0825815 0.0335428
 0.14 0.0962089 0.0901598 0.0943871 0.0930164 0.0921527 0.0960341 0.0937344 0.0936747 0.0374751
 0.15 0.108085 0.101204 0.105948 0.104393 0.103471 0.107919 0.105261 0.105188 0.0415045
 0.16 0.12037 0.112613 0.117884 0.116141 0.11517 0.120225 0.117179 0.117089 0.0456265
 0.17 0.133033 0.124361 0.130165 0.128231 0.127222 0.132926 0.12946 0.12935 0.0498366
 0.18 0.14605 0.136421 0.142765 0.140638 0.139602 0.145998 0.142079 0.141946 0.05413
 0.19 0.159394 0.14877 0.155657 0.15334 0.152286 0.159421 0.155016 0.154852 0.0585024
 0.2 0.173044 0.161389 0.168821 0.166319 0.165254 0.173176 0.16825 0.16805 0.0629495
 0.2 0.172807 0.162066 0.168381 0.166441 0.165881 0.172688 0.168337 0.168103 0.0627225
 0.4 0.491331 0.453849 0.471137 0.468069 0.467924 0.497892 0.477962 0.475619 0.163579
 0.6 0.871022 0.79604 0.825224 0.822125 0.829753 0.881605 0.844494 0.839001 0.282773
 0.8 1.29205 1.17259 1.21535 1.20723 1.23169 1.30579 1.24824 1.23961 0.417337
 1 1.73881 1.57566 1.63124 1.62153 1.65986 1.76066 1.68068 1.66784 0.565973
 1.2 2.2032 1.99844 2.06234 2.06011 2.10676 2.23965 2.13551 2.1165 0.720701
 1.4 2.68314 2.43569 2.5049 2.51182 2.56109 2.73594 2.60295 2.57827 0.882966
