# Time-averaged data for fix PEAve
# TimeStep v_PotEn
10000 -5009.1
20000 -5013.94
30000 -5018.9
40000 -5007.99
50000 -5011.83
60000 -5011.58
70000 -5013.07
80000 -5005.81
90000 -5012.57
100000 -5017.07
110000 -5009.85
120000 -5011.93
130000 -5008.12
140000 -5013.18
150000 -5007.58
160000 -5016.16
170000 -5011.61
180000 -5011.31
190000 -5011.23
200000 -5013.14
210000 -5010.63
220000 -5015.26
230000 -5007.63
240000 -5012.49
250000 -5006.22
260000 -5014
270000 -5007.46
280000 -5008.16
290000 -5017.11
300000 -5010.03
310000 -5007.9
320000 -5016.06
330000 -5011.91
340000 -5013.74
350000 -5012.49
360000 -5010.11
370000 -5003.92
380000 -5010.73
390000 -5013.17
400000 -5016.53
410000 -5017.34
420000 -5020.36
430000 -5014.31
440000 -5013
450000 -5011.12
460000 -5007.61
470000 -5008.45
480000 -5009.36
490000 -5011.52
500000 -5010.02
510000 -5011.11
520000 -5009.9
530000 -5008.03
540000 -5010.81
550000 -5016.13
560000 -5017.77
570000 -5012.1
580000 -5012.42
590000 -5007.88
600000 -5013.74
610000 -5014.19
620000 -5014.87
630000 -5011.17
640000 -5011.74
650000 -5009.69
660000 -5011.85
670000 -5020.48
680000 -5008.43
690000 -5007.95
700000 -5007.31
710000 -5008.66
720000 -5013.47
730000 -5012.27
740000 -5005.04
750000 -5008.91
760000 -5006.52
770000 -5016.26
780000 -5015.31
790000 -5011.3
800000 -5017.55
810000 -5010.13
820000 -5013.63
830000 -5012.79
840000 -5014.82
850000 -5009.98
860000 -5012.57
870000 -5016.55
880000 -5017.3
890000 -5020.26
900000 -5010.58
910000 -5006.13
920000 -5005.55
930000 -5011.71
940000 -5010.94
950000 -5007.3
960000 -5009.66
970000 -5004.55
980000 -5009.05
990000 -5009.19
1000000 -5017.61
