# Time-averaged data for fix TEAve
# TimeStep v_TotEn
10000 -4050.38
20000 -4050.35
30000 -4050.4
40000 -4050.4
50000 -4050.43
60000 -4050.44
70000 -4050.35
80000 -4050.39
90000 -4050.38
100000 -4050.41
110000 -4050.42
120000 -4050.39
130000 -4050.36
140000 -4050.39
150000 -4050.35
160000 -4050.38
170000 -4050.36
180000 -4050.38
190000 -4050.4
200000 -4050.38
210000 -4050.33
220000 -4050.35
230000 -4050.32
240000 -4050.37
250000 -4050.34
260000 -4050.36
270000 -4050.32
280000 -4050.32
290000 -4050.38
300000 -4050.36
310000 -4050.35
320000 -4050.31
330000 -4050.28
340000 -4050.33
350000 -4050.35
360000 -4050.35
370000 -4050.33
380000 -4050.35
390000 -4050.33
400000 -4050.36
410000 -4050.39
420000 -4050.4
430000 -4050.28
440000 -4050.34
450000 -4050.35
460000 -4050.31
470000 -4050.33
480000 -4050.36
490000 -4050.37
500000 -4050.43
510000 -4050.43
520000 -4050.46
530000 -4050.47
540000 -4050.45
550000 -4050.47
560000 -4050.47
570000 -4050.44
580000 -4050.41
590000 -4050.42
600000 -4050.46
610000 -4050.41
620000 -4050.44
630000 -4050.43
640000 -4050.45
650000 -4050.4
660000 -4050.44
670000 -4050.4
680000 -4050.38
690000 -4050.35
700000 -4050.38
710000 -4050.39
720000 -4050.35
730000 -4050.37
740000 -4050.31
750000 -4050.37
760000 -4050.33
770000 -4050.36
780000 -4050.32
790000 -4050.37
800000 -4050.38
810000 -4050.36
820000 -4050.43
830000 -4050.42
840000 -4050.42
850000 -4050.43
860000 -4050.42
870000 -4050.45
880000 -4050.43
890000 -4050.43
900000 -4050.4
910000 -4050.39
920000 -4050.41
930000 -4050.39
940000 -4050.43
950000 -4050.48
960000 -4050.46
970000 -4050.41
980000 -4050.43
990000 -4050.42
1000000 -4050.45
