Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__met_met	MSD__met_wat	MSD__wat_wat	
 1000 30.6726 -39.4362 82.1758
 2000 45.8468 -63.0842 130.255
 3000 59.3333 -84.5332 171.892
 4000 71.6698 -104.799 212.351
 5000 85.7446 -128.268 255.393
 6000 99.5201 -151.698 298.65
 7000 114.198 -177.998 346.39
 8000 128.685 -203.19 393.838
 9000 143.456 -229.36 443.43
 10000 158.146 -255.322 491.376
 11000 173.301 -282.744 543.08
 12000 186.919 -307.13 589.739
 13000 202.154 -333.881 639.611
 14000 217.488 -360.879 688.305
 15000 233.141 -388.747 737.71
 16000 248.677 -415.369 786.246
 17000 264.275 -443.038 836.142
 18000 280.899 -471.905 886.975
 19000 294.629 -496.758 933.427
 20000 310.168 -524.227 982.145
 20000 334.273 -548.076 994.353
 40000 630.513 -1068.98 1909.36
 60000 989.67 -1709.86 3067.59
 80000 1399.16 -2454.08 4419.79
 100000 1809.45 -3173.84 5683.89
 120000 2290.57 -4049.46 7260.4
 140000 2802.19 -4947.91 8845.79
 160000 3438.02 -6093.13 10903.9
 180000 4082.49 -7251.95 12988.1
 200000 4714.11 -8367.73 14959.5
 220000 5412.2 -9595.11 17113.9
 240000 5986 -10604.7 18891.8
 260000 6664.98 -11811.2 21024.3
 280000 7432.58 -13120.7 23282.2
 300000 8193.76 -14453.9 25598.7
 320000 9001.9 -15856.6 28025.8
 340000 9929.74 -17476.8 30862.1
 360000 10927.6 -19251.9 34018.3
 380000 11928.5 -21041 37196.4
 400000 13004.5 -22922.4 40510
 400000 9384.14 -16385.3 28767.5
 800000 26235.1 -47971.6 87745
