Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__met	MSD__wat	
 1000 84.2139 79.1041
 2000 129.685 124.194
 3000 170.367 165.392
 4000 210.294 205.472
 5000 249.453 245.264
 6000 288.117 284.722
 7000 326.291 323.85
 8000 364.681 363.129
 9000 402.812 401.97
 10000 441.288 441.047
 11000 479.403 479.686
 12000 517.425 518.224
 13000 555.436 557.288
 14000 593.572 596.009
 15000 631.662 635.215
 16000 669.672 673.909
 17000 707.7 712.601
 18000 745.207 751.154
 19000 782.387 789.591
 20000 819.48 828.181
 20000 812.834 823.052
 40000 1551.22 1584.16
 60000 2280.52 2347.06
 80000 3008.02 3115.68
 100000 3726.52 3880.48
 120000 4460.63 4665.49
 140000 5203.01 5443.97
 160000 5936.6 6228.49
 180000 6663.7 6991.71
 200000 7397.76 7770.18
 220000 8132.76 8524.91
 240000 8858.45 9276.99
 260000 9596.48 10019
 280000 10317.6 10729.8
 300000 11036.3 11449
 320000 11736.7 12143.9
 340000 12449 12876
 360000 13145 13603.2
 380000 13857 14352
 400000 14574 15106.3
 400000 14591.1 14880.1
 800000 29194.1 30237.6
