# Time-averaged data for fix PressAve
# TimeStep c_P
10000 -69.2143
20000 45.8923
30000 100.683
40000 -59.4387
50000 69.102
60000 13.0496
70000 -35.0431
80000 25.5717
90000 -101.571
100000 -115.64
110000 10.7831
120000 -74.2992
130000 -98.0083
140000 -48.8902
150000 99.0265
160000 -43.3594
170000 -50.1316
180000 56.4396
190000 10.7024
200000 -174.381
210000 -149.501
220000 -118.314
230000 17.427
240000 -31.3115
250000 75.7537
260000 -73.934
270000 82.7809
280000 -17.7654
290000 -59.3773
300000 77.1867
310000 -54.1724
320000 -29.8411
330000 -25.0827
340000 -66.5207
350000 -61.2687
360000 123.581
370000 38.7569
380000 -97.1107
390000 30.1155
400000 85.3284
410000 3.2523
420000 114.634
430000 -120.311
440000 -92.9114
450000 -43.3691
460000 48.8485
470000 144.288
480000 105.755
490000 18.6046
500000 28.0871
510000 73.1272
520000 100.202
530000 -116.013
540000 5.28333
550000 35.4936
560000 -10.8344
570000 49.6463
580000 56.1093
590000 2.58823
600000 16.0333
610000 -126.436
620000 -28.2362
630000 -64.4679
640000 -118.321
650000 18.8877
660000 50.7449
670000 -5.35077
680000 46.4887
690000 31.5367
700000 -28.9309
710000 58.5514
720000 120.827
730000 -35.5549
740000 -16.102
750000 -16.845
760000 61.4422
770000 1.01577
780000 -50.3187
790000 -115.121
800000 -39.5085
810000 -28.8095
820000 -34.6479
830000 118.123
840000 -7.46041
850000 -60.9548
860000 -12.3811
870000 -53.9479
880000 -108.976
890000 -159.556
900000 -11.5134
910000 -59.1609
920000 -48.8577
930000 20.7366
940000 46.1744
950000 8.45448
960000 6.93199
970000 -22.2755
980000 71.2606
990000 -40.8756
1000000 -4.65516
