# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
0.00508122 0	0	0	0	0	0	
0.0152437 0	0	0	0	0	0	
0.0254061 0	0	0	0	0	0	
0.0355685 0	0	0	0	0	0	
0.045731 0	0	0	0	0	0	
0.0558934 0	0	0	0	0	0	
0.0660558 0	0	0	0	0	0	
0.0762183 0	0	0	0	0	0	
0.0863807 0	0	0	0	0	0	
0.0965431 0	0	0	0	0	0	
0.106706 0	0	0	0	0	0	
0.116868 0	0	0	0	0	0	
0.12703 0	0	0	0	0	0	
0.137193 0	0	0	0	0	0	
0.147355 0	0	0	0	0	0	
0.157518 0	0	0	0	0	0	
0.16768 0	0	0	0	0	0	
0.177843 0	0	0	0	0	0	
0.188005 0	0	0	0	0	0	
0.198168 0	0	0	0	0	0	
0.20833 0	0	0	0	0	0	
0.218492 0	0	0	0	0	0	
0.228655 0	0	0	0	0	0	
0.238817 0	0	0	0	0	0	
0.24898 0	0	0	0	0	0	
0.259142 0	0	0	0	0	0	
0.269305 0	0	0	0	0	0	
0.279467 0	0	0	0	0	0	
0.289629 0	0	0	0	0	0	
0.299792 0	0	0	0	0	0	
0.309954 0	0	0	0	0	0	
0.320117 0	0	0	0	0	0	
0.330279 0	0	0	0	0	0	
0.340442 0	0	0	0	0	0	
0.350604 0	0	0	0	0	0	
0.360766 0	0	0	0	0	0	
0.370929 0	0	0	0	0	0	
0.381091 0	0	0	0	0	0	
0.391254 0	0	0	0	0	0	
0.401416 0	0	0	0	0	0	
0.411579 0	0	0	0	0	0	
0.421741 0	0	0	0	0	0	
0.431904 0	0	0	0	0	0	
0.442066 0	0	0	0	0	0	
0.452228 0	0	0	0	0	0	
0.462391 0	0	0	0	0	0	
0.472553 0	0	0	0	0	0	
0.482716 0	0	0	0	0	0	
0.492878 0	0	0	0	0	0	
0.503041 0	0	0	0	0	0	
0.513203 0	0	0	0	0	0	
0.523365 0	0	0	0	0	0	
0.533528 0	0	0	0	0	0	
0.54369 0	0	0	0	0	0	
0.553853 0	0	0	0	0	0	
0.564015 0	0	0	0	0	0	
0.574178 0	0	0	0	0	0	
0.58434 0	0	0	0	0	0	
0.594503 0	0	0	0	0	0	
0.604665 0	0	0	0	0	0	
0.614827 0	0	0	0	0	0	
0.62499 0	0	0	0	0	0	
0.635152 0	0	0	0	0	0	
0.645315 0	0	0	0	0	0	
0.655477 0	0	0	0	0	0	
0.66564 0	0	0	0	0	0	
0.675802 0	0	0	0	0	0	
0.685964 0	0	0	0	0	0	
0.696127 0	0	0	0	0	0	
0.706289 0	0	0	0	0	0	
0.716452 0	0	0	0	0	0	
0.726614 0	0	0	0	0	0	
0.736777 0	0	0	0	0	0	
0.746939 0	0	0	0	0	0	
0.757101 0	0	0	0	0	0	
0.767264 0	0	0	0	0	0	
0.777426 0	0	0	0	0	0	
0.787589 0	0	0	0	0	0	
0.797751 0	0	0	0	0	0	
0.807914 0	0	0	0	0	0	
0.818076 0	0	0	0	0	0	
0.828239 0	0	0	0	0	0	
0.838401 0	0	0	0	0	0	
0.848563 0	0	0	0	0	0	
0.858726 0	0	0	0	0	0	
0.868888 0	0	0	0	0	0	
0.879051 0	0	0	0	0	0	
0.889213 0	0	0	0	0	0	
0.899376 0	0	0	0	0	0	
0.909538 0	0	0	0	0	0	
0.9197 0	0	0	0	0	0	
0.929863 0	0	0	0	0	0	
0.940025 0	0	0	0	0	0	
0.950188 0	0	0	0	0	0	
0.96035 0	0	0	0	0	0	
0.970513 0	0	0	0	0	0	
0.980675 0	0	0	0	0	0	
0.990838 0	0	0	0	0	0	
1.001 0	0	0	0	0	0	
1.01116 0	0	0	0	0	0	
1.02132 0	0	0	0	0	0	
1.03149 0	0	0	0	0	0	
1.04165 0	0	0	0	0	0	
1.05181 0	0	0	0	0	0	
1.06197 0	0	0	0	0	0	
1.07214 0	0	0	0	0	0	
1.0823 0	0	0	0	0	0	
1.09246 0	0	0	0	0	0	
1.10262 0	0	0	0	0	0	
1.11279 0	0	0	0	0	0	
1.12295 0	0	0	0	0	0	
1.13311 0	0	0	0	0	0	
1.14327 0	0	0	0	0	0	
1.15344 0	0	0	0	0	0	
1.1636 0	0	0	0	0	0	
1.17376 0	0	0	0	0	0	
1.18392 0	0	0	0	0	0	
1.19409 0	0	0	0	0	0	
1.20425 0	0	0	0	0	0	
1.21441 0	0	0	0	0	0	
1.22457 0	0	0	0	0	0	
1.23474 0	0	0	0	0	0	
1.2449 0	0	0	0	0	0	
1.25506 0	0	0	0	0	0	
1.26522 0	0	0	0	0	0	
1.27539 0	0	0	0	0	0	
1.28555 0	0	0	0	0	0	
1.29571 0	0	0	0	0	0	
1.30587 0	0	0	0	0	0	
1.31604 0	0	0	0	0	0	
1.3262 0	0	0	0	0	0	
1.33636 0	0	0	0	0	0	
1.34652 0	0	0	0	0	0	
1.35669 0	0	0	0	0	0	
1.36685 0	0	0	0	0	0	
1.37701 0	0	0	0	0	0	
1.38717 0	0	0	0	0	0	
1.39733 0	0	0	0	0	0	
1.4075 0	0	0	0	0	0	
1.41766 0	0	0	0	0	0	
1.42782 0	0	0	0	0	0	
1.43798 0	0	0	0	0	0	
1.44815 0	0	0	0	0	0	
1.45831 0	0	0	0	0	0	
1.46847 0	0	0	0	0	0	
1.47863 0	0	0	0	0	0	
1.4888 0	0	0	0	0	0	
1.49896 0	0	0	0	0	0	
1.50912 0	0	0	0	0	0	
1.51928 0	0	0	0	0	0	
1.52945 0	0	0	0	0	0	
1.53961 0	0	0	0	0	0	
1.54977 0	0	0	0	0	0	
1.55993 0	0	0	0	0	0	
1.5701 0	0	0	0	0	0	
1.58026 0	0	0	0	0	0	
1.59042 0	0	0	0	0	0	
1.60058 0	0	0	0	0	0	
1.61075 0	0	0	0	0	0	
1.62091 0	0	0	0	0	0	
1.63107 0	0	0	0	0	0	
1.64123 0	0	0	0	0	0	
1.6514 0	0	0	0	0	0	
1.66156 0	0	0	0	0	0	
1.67172 0	0	0	0	0	0	
1.68188 0	0	0	0	0	0	
1.69205 0	0	0	0	0	0	
1.70221 0	0	0	0	0	0	
1.71237 0	0	0	0	0	0	
1.72253 0	0	0	0	0	0	
1.7327 0	0	0	0	0	0	
1.74286 0	0	0	0	0	0	
1.75302 0	0	0	0	0	0	
1.76318 0	0	0	0	0	0	
1.77335 0	0	0	0	0	0	
1.78351 0	0	0	0	0	0	
1.79367 0	0	0	0	0	0	
1.80383 0	0	0	0	0	0	
1.81399 0	0	0	0	0	0	
1.82416 0	0	0	0	0	0	
1.83432 0	0	0	0	0	0	
1.84448 0	0	0	0	0	0	
1.85464 0	0	0	0	0	0	
1.86481 0	0	0	0	0	0	
1.87497 0	0	0	0	0	0	
1.88513 0	0	0	0	0	0	
1.89529 0	0	0	0	0	0	
1.90546 0	0	0	0	0	0	
1.91562 0	0	0	0	0	0	
1.92578 0	0	0	0	0	0	
1.93594 0	0	0	0	0	0	
1.94611 0	0	0	0	0	0	
1.95627 0	0	0	0	0	0	
1.96643 0	0	0	0	0	0	
1.97659 0	0	0	0	0	0	
1.98676 0	0	0	0	0	0	
1.99692 0	0	0	0	0	0	
2.00708 0	0	0	0	0	0	
2.01724 0	0	0	0	0	0	
2.02741 0	0	0	0	0	0	
2.03757 0	0	0	0	0	0	
2.04773 0	0	0	0	0	0	
