Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 10 6.04793 6.00936 5.92053 5.9926
 20 16.65 16.5307 16.2528 16.4779
 30 25.3566 25.1774 24.7162 25.0834
 40 30.4646 30.2528 29.6006 30.106
 50 34.5782 34.2731 33.408 34.0864
 60 41.3655 40.7628 39.7334 40.6206
 70 49.9235 48.9553 47.8462 48.9084
 80 58.9693 57.7385 56.5413 57.7497
 90 67.1288 65.7248 64.3562 65.7366
 100 74.3871 72.7604 71.2085 72.7853
 110 81.4412 79.4788 77.8081 79.576
 120 88.5893 86.2929 84.5585 86.4802
 130 96.1544 93.6111 91.785 93.8502
 140 103.723 100.982 99.0325 101.246
 150 111.247 108.271 106.212 108.577
 160 118.548 115.251 113.183 115.661
 170 125.756 122.055 120.099 122.637
 180 132.908 128.735 127.009 129.551
 190 139.906 135.225 133.788 136.306
 200 146.884 141.752 140.582 143.073
 200 145.719 141.254 142.263 143.079
 400 269.285 263.219 267.029 266.511
 600 383.393 371.499 380.656 378.516
 800 484.812 472.107 499.003 485.307
 1000 585.317 571.07 620.756 592.381
 1200 681.839 672.982 740.331 698.384
 1400 785.353 770.277 858.595 804.741
 1600 884.836 864.178 977.564 908.859
 1800 982.277 953.909 1091.46 1009.22
 2000 1077.93 1048.23 1208.29 1111.48
 2200 1168.85 1144.93 1320.31 1211.36
 2400 1257.26 1243.37 1436.83 1312.49
 2600 1343.48 1339.8 1558.04 1413.77
 2800 1431.88 1432.44 1684.71 1516.34
 3000 1521.07 1524.27 1809.87 1618.4
 3200 1607.96 1606.25 1940.87 1718.36
 3400 1699.89 1686.83 2068.08 1818.27
 3600 1792.43 1771.71 2199.74 1921.3
 3800 1892.99 1859.69 2321.35 2024.68
 4000 1989.93 1950.93 2438.62 2126.49
 4000 2182.26 1993.59 2593.63 2256.49
 8000 3792.14 3552.69 5222.74 4189.19
 12000 5328.92 5101.41 7766.05 6065.46
 16000 6761.06 6930.48 10373.9 8021.81
 20000 8317.65 8231.88 12312.4 9620.64
 24000 9916.87 9950.72 14407.5 11425
 28000 11824.8 11270.3 16433.1 13176.1
 32000 13702.2 12922.7 18613.7 15079.5
 36000 15906.2 15166.4 20734.5 17269
 40000 17985.2 17001.7 22772.2 19253
 44000 19756.1 19089.6 24469.4 21105
 48000 21120.4 20861.3 25788.7 22590.1
 52000 22476.7 22197.8 27132.5 23935.7
 56000 23179.2 23371.6 28680.5 25077.1
 60000 24192 24776.2 30131 26366.4
 64000 24885.9 26403.8 31510.6 27600.1
 68000 25996.6 27718.3 32757.2 28824
 72000 26509.2 28914.6 33815.9 29746.5
 76000 26998.8 30066.5 35204.4 30756.6
 80000 27360.5 31604.2 36497 31820.6
 80000 24500.4 39343.7 38802.5 34215.5
 160000 44451.4 75132.2 54998.3 58194
 240000 46696.9 121549 57934.2 75393.4
 320000 38588 216683 73450.3 109574
 400000 68900.4 354776 87203.5 170293
 480000 116098 485723 119836 240552
 560000 137010 650554 155235 314266
 640000 123248 869840 180865 391318
 720000 130465 863430 248461 414118
 800000 221730 1.04411e+06 153706 473183
 880000 258704 1.34468e+06 120620 574668
 960000 327538 1.6063e+06 439301 791046
