# Time-averaged data for fix TempAve
# TimeStep c_T
10000 297.164
20000 298.674
30000 300.196
40000 296.817
50000 297.996
60000 297.914
70000 298.406
80000 296.143
90000 298.241
100000 299.626
110000 297.386
120000 298.04
130000 296.867
140000 298.426
150000 296.702
160000 299.353
170000 297.95
180000 297.849
190000 297.816
200000 298.417
210000 297.653
220000 299.082
230000 296.725
240000 298.217
250000 296.285
260000 298.691
270000 296.674
280000 296.89
290000 299.648
300000 297.459
310000 296.801
320000 299.343
330000 298.068
340000 298.619
350000 298.224
360000 297.485
370000 295.573
380000 297.68
390000 298.438
400000 299.475
410000 299.715
420000 300.65
430000 298.81
440000 298.385
450000 297.802
460000 296.724
470000 296.977
480000 297.251
490000 297.918
500000 297.434
510000 297.773
520000 297.389
530000 296.804
540000 297.671
550000 299.314
560000 299.824
570000 298.074
580000 298.183
590000 296.773
600000 298.577
610000 298.733
620000 298.934
630000 297.792
640000 297.962
650000 297.34
660000 297.997
670000 300.684
680000 296.955
690000 296.816
700000 296.61
710000 297.024
720000 298.526
730000 298.15
740000 295.928
750000 297.11
760000 296.378
770000 299.391
780000 299.108
790000 297.847
800000 299.784
810000 297.489
820000 298.553
830000 298.297
840000 298.924
850000 297.421
860000 298.228
870000 299.451
880000 299.689
890000 300.608
900000 297.617
910000 296.241
920000 296.056
930000 297.971
940000 297.718
950000 296.575
960000 297.313
970000 295.745
980000 297.134
990000 297.179
1000000 299.779
