Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 10 1.02992e+09 1.0077e+09 1.02043e+09 1.02148e+09 1.01693e+09 1.02766e+09 1.02202e+09 1.02095e+09 1.14437e+09
 20 3.30044e+09 3.20304e+09 3.25552e+09 3.26127e+09 3.24657e+09 3.27545e+09 3.26109e+09 3.25786e+09 4.25843e+09
 30 6.85897e+09 6.6494e+09 6.76207e+09 6.78302e+09 6.7512e+09 6.80974e+09 6.78132e+09 6.77152e+09 9.16929e+09
 40 1.12064e+10 1.08511e+10 1.10421e+10 1.10915e+10 1.10403e+10 1.11307e+10 1.10875e+10 1.10658e+10 1.5536e+10
 50 1.59413e+10 1.5413e+10 1.56989e+10 1.57932e+10 1.57237e+10 1.58372e+10 1.57847e+10 1.57446e+10 2.30761e+10
 60 2.12171e+10 2.05001e+10 2.08892e+10 2.10495e+10 2.09604e+10 2.10942e+10 2.10347e+10 2.09683e+10 3.16766e+10
 70 2.64704e+10 2.55406e+10 2.60418e+10 2.62917e+10 2.61852e+10 2.63174e+10 2.62648e+10 2.61659e+10 4.10072e+10
 80 3.20629e+10 3.09097e+10 3.15222e+10 3.18876e+10 3.17632e+10 3.18848e+10 3.18452e+10 3.17064e+10 5.10276e+10
 90 3.76811e+10 3.62807e+10 3.70007e+10 3.75063e+10 3.73706e+10 3.74611e+10 3.7446e+10 3.72626e+10 6.14816e+10
 100 4.34842e+10 4.18148e+10 4.26388e+10 4.33087e+10 4.31664e+10 4.32107e+10 4.32286e+10 4.29955e+10 7.22952e+10
 110 4.95591e+10 4.75953e+10 4.85132e+10 4.93685e+10 4.92289e+10 4.92171e+10 4.92715e+10 4.89853e+10 8.33933e+10
 120 5.57528e+10 5.34593e+10 5.44705e+10 5.55307e+10 5.54027e+10 5.53196e+10 5.54176e+10 5.50749e+10 9.46508e+10
 130 6.23536e+10 5.97023e+10 6.08036e+10 6.20868e+10 6.19756e+10 6.18282e+10 6.19635e+10 6.15594e+10 1.06118e+11
 140 6.90893e+10 6.60389e+10 6.72348e+10 6.87552e+10 6.86699e+10 6.84553e+10 6.86268e+10 6.81578e+10 1.17671e+11
 150 7.61601e+10 7.26832e+10 7.39774e+10 7.57493e+10 7.56926e+10 7.54206e+10 7.56208e+10 7.50819e+10 1.29368e+11
 160 8.34223e+10 7.94895e+10 8.08755e+10 8.29164e+10 8.29001e+10 8.25664e+10 8.27943e+10 8.21816e+10 1.4116e+11
 170 9.08606e+10 8.64497e+10 8.79237e+10 9.02473e+10 9.02865e+10 8.98748e+10 9.01362e+10 8.94463e+10 1.53054e+11
 180 9.85457e+10 9.36425e+10 9.51867e+10 9.78136e+10 9.79214e+10 9.74165e+10 9.77172e+10 9.6947e+10 1.65084e+11
 190 1.06319e+11 1.00902e+11 1.02506e+11 1.05449e+11 1.05645e+11 1.05013e+11 1.05369e+11 1.04518e+11 1.77211e+11
 200 1.1436e+11 1.08415e+11 1.10066e+11 1.13337e+11 1.13632e+11 1.12849e+11 1.13272e+11 1.12342e+11 1.89504e+11
 200 1.13607e+11 1.07849e+11 1.10402e+11 1.13516e+11 1.13384e+11 1.1224e+11 1.13047e+11 1.12076e+11 1.87374e+11
 400 3.13666e+11 2.90352e+11 2.94571e+11 3.04487e+11 3.09636e+11 3.00836e+11 3.04986e+11 3.02804e+11 4.70066e+11
 600 5.69821e+11 5.15902e+11 5.20833e+11 5.4313e+11 5.59814e+11 5.37126e+11 5.4669e+11 5.42222e+11 8.27921e+11
 800 8.72068e+11 7.79964e+11 7.77654e+11 8.22641e+11 8.42931e+11 8.12016e+11 8.25863e+11 8.19476e+11 1.25115e+12
 1000 1.21589e+12 1.0813e+12 1.06058e+12 1.13544e+12 1.15654e+12 1.11507e+12 1.13568e+12 1.12911e+12 1.73045e+12
 1200 1.59353e+12 1.41836e+12 1.37005e+12 1.47254e+12 1.49706e+12 1.44089e+12 1.47016e+12 1.46635e+12 2.25755e+12
 1400 1.99947e+12 1.78269e+12 1.69878e+12 1.83579e+12 1.86101e+12 1.78831e+12 1.82837e+12 1.82782e+12 2.82995e+12
 1600 2.43337e+12 2.17214e+12 2.04471e+12 2.2164e+12 2.24581e+12 2.15318e+12 2.20513e+12 2.20978e+12 3.44324e+12
 1800 2.89171e+12 2.58367e+12 2.4064e+12 2.61276e+12 2.65023e+12 2.536e+12 2.59966e+12 2.6107e+12 4.09334e+12
 2000 3.36816e+12 3.01322e+12 2.78332e+12 3.02983e+12 3.07494e+12 2.93596e+12 3.01358e+12 3.03011e+12 4.77637e+12
